epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,253814,0.78113,0.43799,1.51677,0.96408,0.98892,0.99365,0.98002,0.41085,0.23984,1.18663,0.00013402,0.00013402,0.00013402
98,256829,0.76478,0.42472,1.52077,0.96425,0.99383,0.99308,0.97011,0.43531,0.25058,1.1847,0.000132079,0.000132079,0.000132079
99,259843,0.78686,0.44451,1.53998,0.96413,0.99474,0.99357,0.97552,0.41129,0.24153,1.17682,0.000130137,0.000130137,0.000130137
100,262856,0.77035,0.44456,1.50684,0.96412,0.98993,0.99325,0.97015,0.4188,0.24318,1.20743,0.000128194,0.000128194,0.000128194
101,265875,0.76263,0.42729,1.50002,0.96538,0.99474,0.99379,0.97848,0.41861,0.2385,1.18727,0.00012625,0.00012625,0.00012625
98,3037.55,0.7658,0.43721,1.49621,0.95805,0.98947,0.98893,0.9586,0.44266,0.25643,1.21378,0.000132079,0.000132079,0.000132079
99,6064.03,0.75224,0.4176,1.50669,0.97523,0.97895,0.99377,0.97474,0.40741,0.24166,1.20816,0.000130137,0.000130137,0.000130137
100,9089.46,0.72887,0.40409,1.49028,0.97073,0.98421,0.99322,0.97576,0.42007,0.25028,1.18517,0.000128194,0.000128194,0.000128194
98,3049.04,0.7658,0.43721,1.49621,0.95805,0.98947,0.98893,0.9586,0.44266,0.25643,1.21378,0.000132079,0.000132079,0.000132079
99,6094.1,0.75224,0.4176,1.50669,0.97523,0.97895,0.99377,0.97474,0.40741,0.24166,1.20816,0.000130137,0.000130137,0.000130137
100,9145.26,0.72887,0.40409,1.49028,0.97073,0.98421,0.99322,0.97576,0.42007,0.25028,1.18517,0.000128194,0.000128194,0.000128194
101,12196.9,0.74066,0.41987,1.46522,0.95933,0.99314,0.99314,0.97518,0.42902,0.2495,1.18054,0.00012625,0.00012625,0.00012625
102,15243.9,0.7243,0.40812,1.46798,0.98159,0.97895,0.99373,0.97622,0.40432,0.245,1.21071,0.000124306,0.000124306,0.000124306
103,18287.3,0.70911,0.40338,1.43713,0.97706,0.97895,0.99349,0.96932,0.42537,0.24136,1.21369,0.000122363,0.000122363,0.000122363
104,21329.3,0.72763,0.40299,1.47928,0.97417,0.99254,0.99411,0.9772,0.3851,0.23512,1.21987,0.000120421,0.000120421,0.000120421
105,24376.3,0.72785,0.4043,1.45979,0.96889,0.99474,0.99396,0.97854,0.414,0.24279,1.20633,0.00011848,0.00011848,0.00011848
106,27422.2,0.72275,0.40775,1.4747,0.96651,0.99474,0.99325,0.97498,0.41431,0.23459,1.23407,0.000116541,0.000116541,0.000116541
107,30470.5,0.72406,0.40742,1.44167,0.96511,0.99474,0.99256,0.97465,0.41056,0.24843,1.17695,0.000114604,0.000114604,0.000114604
108,33525.2,0.71666,0.394,1.45833,0.95914,0.99474,0.99315,0.97026,0.42225,0.23767,1.21676,0.00011267,0.00011267,0.00011267
